model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
extra_trees,0.999886169607285,0.00022766078542972855,0.9998493975903614,0.0003012048192771122,0.9998789173126535,0.00024216537469303744
random_forest,0.9995381471770995,0.0005657461340254177,0.9995161467788964,0.0006215383895265947,0.9995034886314045,0.0006083975060219003
rbf_svm,0.999183593494873,0.001366138052531808,0.9988706047681755,0.001904743757855769,0.9991138899902492,0.001488102199655855
hist_gradient_boosting,0.9985158068613427,0.0011111724569788672,0.9986977131973577,0.0008873449719265188,0.99841510958864,0.0011804674247716468
